School_Name,latX,longY,Language,Town
Ysgol Maenofferen,52.99442,-3.93827001,Welsh medium,BLAENAU FFESTINIOG
Ysgol Hirael,53.23145999,-4.12203001,Welsh medium,BANGOR
Ysgol Craig Y Deryn,52.62576804,-4.07270724,Welsh medium,LLANEGRYN
Ysgol Bro Llifon,53.07777999,-4.27547001,Welsh medium,Y GROESLON
Ysgol Pont Y Gof,52.84987998,-4.58732002,Welsh medium,BOTWNNOG
Ysgol Gynradd Maesincla,53.14160999,-4.25969001,Welsh medium,CAERNARFON
Ysgol Y Faenol,53.20833999,-4.16880001,Welsh medium,PENRHOSGARNEDD
Ysgol Foel Gron,52.85090999,-4.52202001,Welsh medium,MYNYTHO
Ysgol Llandygai,53.21681999,-4.09785001,Welsh medium,LLANDYGAI
Ysgol Gynradd Llandwrog,53.07899999,-4.31287,Welsh medium,LLANDWROG
Ysgol Gynradd Llanystumdwy,52.92274999,-4.27253001,Welsh medium,LLANYSTUMDWY
Ysgol Tregarth,53.19036998,-4.08707002,Welsh medium,TREGARTH
Ysgol Cae Top,53.21865999,-4.15311002,Welsh medium,BANGOR
Ysgol Santes Helen,53.14292999,-4.26968001,Welsh medium,CAERNARFON
Ysgol Ein Harglwyddes,53.22167999,-4.13406002,English with significant Welsh,BANGOR
Ysgol Betws Y Coed,53.09265999,-3.81883001,Welsh medium,BETWS Y COED
Ysgol Capelulo,53.27469999,-3.90389001,English with significant Welsh,PENMAENMAWR
Ysgol Deganwy,53.29251999,-3.82119002,English with significant Welsh,DEGANWY
Ysgol Dolwyddelan,53.05200999,-3.88508002,Welsh medium,DOLWYDDELAN
Ysgol Ffordd Dyffryn,53.31654999,-3.83491001,English with significant Welsh,LLANDUDNO
Ysgol Glanwydden,53.31060999,-3.77895001,English with significant Welsh,PENRHYN BAY
Ysgol Tudno,53.31987999,-3.83085001,English with significant Welsh,LLANDUDNO
Ysgol Morfa Rhianedd,53.31656999,-3.82640001,Welsh medium,LLANDUDNO
Ysgol Penmachno,53.04073999,-3.80160001,Welsh medium,BETWS Y COED
Ysgol Llandrillo Yn Rhos,53.26291148,-3.52717464,English medium,BUCKLEY
Ysgol Talhaiarn,53.21725998,-3.61039002,English with significant Welsh,LLANFAIRTALHAIARN
Ysgol Babanod Mochdre,53.29147,-3.76444,English medium,COLWYN BAY
Ysgol  T Gwynn Jones,53.28820998,-3.70268001,English medium,COLWYN BAY
Ysgol Maes Owen,53.30461827,-3.52560568,English medium,KINMEL BAY
Ysgol Glan Gele,53.28708999,-3.57557,English medium,ABERGELE
Ysgol Glan Morfa,53.28740999,-3.57514,Welsh medium,ABERGELE
Ysgol Bod Alaw,53.28822998,-3.71915001,Welsh medium,COLWYN BAY
Ysgol Pant Y Rhedyn,53.25832,-3.97387001,English with significant Welsh,LLANFAIRFECHAN
Ysgol Y Foryd,53.30462999,-3.52438002,English medium,KINMEL BAY
Ysgol Craig Y Don,53.31800999,-3.81422001,English with significant Welsh,LLANDUDNO
Ysgol Cerrigydrudion,53.02688999,-3.56019,Welsh medium,CERRIGYDRUDION
"Ysgol Bro Aled, Llansannan",53.17822999,-3.60020002,Welsh medium,LLANSANNAN
Ysgol Gynradd Bro Cernyw,53.19061998,-3.68477002,Welsh medium,LLANGERNYW
Ysgol Sant Elfod,53.28781999,-3.5761,English medium,ABERGELE
Ysgol Capel Garmon,53.08371999,-3.76994002,Welsh medium,LLANRWST
Ysgol Glan Conwy,53.26764999,-3.79438002,English with significant Welsh,GLAN CONWY
Ysgol Cynfran,53.28170999,-3.65697999,English with significant Welsh,LLYSFAEN
Ysgol Iau Hen Golwyn,53.28948998,-3.70307,English medium,COLWYN BAY
Ysgol Cystennin,53.29081999,-3.76035,English medium,COLWYN BAY
Ysgol Pentrefoelas,53.04722999,-3.68135001,Welsh medium,PENTREFOELAS
Ysgol Bro Gwydir,53.13735999,-3.79524001,Welsh medium,LLANRWST
Ysgol Nant Y Groes,53.29326998,-3.71827001,English medium,COLWYN BAY
Ysgol Swn Y Don,53.28683998,-3.68033,English medium,COLWYN BAY
Ysgol Awel Y Mynydd,53.28596001,-3.79176198,Dual stream,LLANDUDNO JUNCTION
Ysgol Babanod Llanfairfechan,53.25272999,-3.97605001,English with significant Welsh,LLANFAIRFECHAN
Ysgol Llangelynnin,53.25555999,-3.84510001,Welsh medium,CONWY
Ysgol Pencae,53.26940999,-3.91445001,Welsh medium,PENMAENMAWR
Ysgol Ysbyty Ifan,53.02329999,-3.72911002,Welsh medium,YSBYTY IFAN
Ysgol St George,53.27027998,-3.53897002,English medium,ST GEORGE
Ysgol Llanddoged,53.15732999,-3.78550002,Welsh medium,LLANRWST
Ysgol Eglwysbach,53.21555998,-3.79325,Welsh medium,EGLWYSBACH
Ysgol Porth Y Felin,53.27830999,-3.83309,English with significant Welsh,CONWY
Ysgol Llanddulas,53.28871,-3.64381001,English medium,ABERGELE
Ysgol Betws Yn Rhos,53.24816998,-3.64106001,Welsh medium,BETWS YN RHOS
Ysgol Bodafon,53.31929998,-3.79029002,English with significant Welsh,LLANDUDNO
Ysgol Bendigaid William Davies,53.31256999,-3.82084001,English medium,LLANDUDNO
Ysgol  San Sior,53.32383999,-3.84043,English with significant Welsh,LLANDUDNO
Ysgol Sant Joseph,53.29699798,-3.73443386,English medium,COLWYN BAY
Ysgol Y Plas,53.26503,-3.68315001,English medium,COLWYN BAY
Ysgol Pen Y Bryn,53.28779999,-3.7387,English medium,COLWYN BAY
Ysgol Hiraddug,53.29854999,-3.41307001,English medium,RHYL
Ysgol Y Castell Cp,53.28909998,-3.46243001,English medium,RHYL
Christ Church Primary School,53.31631001,-3.48657,English medium,RHYL
Ysgol Llywelyn,53.31465,-3.46930001,English medium,RHYL
Ysgol Y Faenol,53.26955999,-3.50969001,English medium,RHYL
Ysgol Penmorfa Cp,53.33005998,-3.40880002,English medium,PRESTATYN
Ysgol Emmanuel,53.31612001,-3.48274001,English medium,RHYL
Ysgol Dewi Sant,53.30871998,-3.47132003,Welsh medium,RHYL
Ysgol Melyd,53.31637998,-3.41519003,English medium,PRESTATYN
Ysgol Bodfari,53.21938999,-3.36233001,English medium,DENBIGH
Ysgol Bryn Hedydd,53.32581999,-3.46731002,English medium,RHYL
Ysgol Cefn Meiriadog,53.24867999,-3.4998,English medium,ABERGELE
Frongoch Juniors,53.18935999,-3.40878002,English medium,DENBIGH
Ysgol Henllan,53.20077998,-3.45848002,Welsh medium,DENBIGH
Ysgol Twm O'R Nant,53.18843999,-3.40884002,Welsh medium,DENBIGH
Ysgol Bryn Clwyd,53.17706998,-3.33708998,English with significant Welsh,DENBIGH
Ysgol Y Parc,53.18662999,-3.40666002,English medium,DENBIGH
Ysgol Gellifor,53.15245999,-3.31456,English medium,RUTHIN
Ysgol Betws Gwerful Goch,53.00973999,-3.44547001,Welsh medium,CORWEN
Ysgol Carrog,52.98248999,-3.32502003,English with significant Welsh,CORWEN
Ysgol Caer Drewyn,52.98994998,-3.37988002,English with significant Welsh,CORWEN
Ysgol Bro Elwern,53.00832999,-3.38034003,Welsh medium,CORWEN
Ysgol Y Llys,53.32536998,-3.41233002,Welsh medium,PRESTATYN
Ysgol Bryn Collen,52.96269998,-3.16158001,English medium,LLANGOLLEN
Ysgol Bro Cinmeirch,53.15743999,-3.37169,Welsh medium,DENBIGH
Ysgol Bro Famau,53.10226999,-3.19923001,English medium,MOLD
Ysgol Gymraeg Y Gwernant,52.96275998,-3.16154001,Welsh medium,LLANGOLLEN
Ysgol Clawdd Offa,53.32802998,-3.42727002,English medium,PRESTATYN
Bodnant Community Primary School,53.33622998,-3.39826001,English medium,PRESTATYN
Ysgol Pendref,53.18430999,-3.43188002,English medium,DENBIGH
Ysgol_Bro_Dyfrdwy,52.96039998,-3.40653002,Welsh medium,CORWEN
Ysgol Carreg Emlyn,53.07757482,-3.36937564,Welsh medium,RUTHIN
Ysgol Tremeirchion,53.24687999,-3.37652001,Welsh medium,ST ASAPH
St Asaph Infants School,53.25712999,-3.44053001,English medium,ST ASAPH
Ysgol Llanbedr,53.13182999,-3.28835,English medium,RUTHIN
Ysgol Borthyn,53.11357999,-3.31817001,English medium,RUTHIN
Ysgol Pant Pastynog,53.14472998,-3.42702,Welsh medium,DENBIGH
Ysgol Dyffryn Ial,53.06228999,-3.20091001,English with significant Welsh,WREXHAM
Ysgol Esgob Morgan,53.25891999,-3.45329001,English medium,ST ASAPH
Ysgol Trefnant,53.22386999,-3.42331001,English medium,DENBIGH
The Rofft Cp School,53.08954999,-2.95971001,English medium,WREXHAM
Froncysyllte,52.96315999,-3.08795002,English medium,LLANGOLLEN
